Clima,Conocimiento_sobre_plantas,Especie_planta,Mantiene_Planta_Tóxica,Tiempo_de_dedicacion,Preferencia_tonos,Tipo_vivienda,Toxic_Yes
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Tradescantia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Fittonia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Cactus de Navidad,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Violeta africana,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Orquídea phalaenopsis,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Aloe vera,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Cactus de bola,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Echeveria,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Kalanchoe,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Geranio,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Petunia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Fucsia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Mediterráneo “continentalizado” (por ejemplo: Madrid, Albacete, Valladolid o Granada)",Nada,Begonia,Sí,La verdad que no,Fríos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Costilla de Adán,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Pilea,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Violeta africana,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Ficus lyrata,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Orquídea phalaenopsis,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Aloe vera,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Petunia,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Atlántico (por ejemplo: San Sebastián, Gijón, Santander, Bilbao, Foz, Vigo u Oviedo)",Tengo nociones básicas,Begonia,Sí,Les hago bastante caso,Cálidos,Apartamento,1.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Costilla de Adán,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Tradescantia,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Cactus de Navidad,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Violeta africana,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Planta de serpiente/ Espada de San Jorge,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Orquídea phalaenopsis,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Crasula/ Suculenta de Jade,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Aloe vera,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Haworthia,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Aeonium,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Echeveria,No,Cuando me acuerdo,Cálidos,Adosado,0.0
"Mediterráneo seco (por ejemplo: Alicante, Murcia, Almería, Elche, Orihuela o Cartagena)",Tengo nociones básicas,Agave,No,Cuando me acuerdo,Cálidos,Adosado,0.0
